Arquivo,MinRGB,MaxRGB,Blur,BlockSize,C,OCR,Esperado,Sucesso
10-31-41_frame_003039.jpg,205,240,1,13,-1,36239241,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,13,-1,16:33:97,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,13,-1,10:31:18,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,13,0,20284203,10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,13,0,1OcSS32,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,13,0,1OcSa908,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,13,0,1G:82288,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,13,0,16881287,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,13,0,2E231°241,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,13,0,10381398,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,13,0,2E231°249,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,13,0,1OcBS°9%,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,13,0,10381398,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,13,1,"70 S400""",10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,13,1,Vosges,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,13,1,(O° :33:08,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,13,1,TUS2. 55,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,13,1,TO3154,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,13,1,TO S744,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,13,1,TOSi15,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,13,1,tO Sii4t,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,13,1,TOS a,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,13,1,TOSi15,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,13,2,"70 S400""",10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,13,2,Vosges,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,13,2,(O° :33:08,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,13,2,TUS2. 55,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,13,2,TO3154,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,13,2,TO S744,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,13,2,TOSi15,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,13,2,tO Sii4t,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,13,2,TOS a,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,13,2,TOSi15,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,13,3,"70 S400""",10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,13,3,Vosges,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,13,3,(O° :33:08,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,13,3,TUS2. 55,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,13,3,TO3154,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,13,3,TO S744,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,13,3,TOSi15,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,13,3,tO Sii4t,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,13,3,TOS a,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,13,3,TOSi15,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,13,4,"70 S400""",10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,13,4,Vosges,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,13,4,(O° :33:08,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,13,4,TUS2. 55,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,13,4,TO3154,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,13,4,TO S744,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,13,4,TOSi15,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,13,4,tO Sii4t,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,13,4,TOS a,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,13,4,TOSi15,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,13,5,"70 S400""",10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,13,5,Vosges,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,13,5,(O° :33:08,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,13,5,TUS2. 55,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,13,5,TO3154,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,13,5,TO S744,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,13,5,TOSi15,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,13,5,tO Sii4t,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,13,5,TOS a,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,13,5,TOSi15,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,15,-3,20:34:02,10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,15,-3,10:33:47,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,15,-3,10°33°08,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,15,-3,16:32:60,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,15,-3,16:31°89,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,15,-3,2€230:41,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,15,-3,10:31:18,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,15,-3,2€230:41,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,15,-3,10:33: 9?,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,15,-3,10:31:18,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,15,-2,20234303,10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,15,-2,10:33:77,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,15,-2,10383908,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,15,-2,16:32:68,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,15,-2,16:81°87,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,15,-2,2€231°41,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,15,-2,10231318,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,15,-2,26231241,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,15,-2,10:33:97,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,15,-2,10231218,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,15,-1,20384203,10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,15,-1,10:33:27,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,15,-1,1GcSS908,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,15,-1,1G:822890,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,15,-1,16231281,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,15,-1,SE2B1241,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,15,-1,10231318,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,15,-1,SE2S1249,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,15,-1,10:33:97,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,15,-1,10231318,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,15,0,20284202,10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,15,0,,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,15,0,fO-33-08,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,15,0,i ttre tecten  S,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,15,0,16280287,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,15,0,2651242,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,15,0,1089708,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,15,0,265331249,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,15,0,DOCS?,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,15,0,10897308,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,15,1,"70 S400""",10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,15,1,Vosges,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,15,1,(O° :33:08,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,15,1,TUS2. 55,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,15,1,TO3154,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,15,1,TO S744,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,15,1,TOSi15,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,15,1,tO Sii4t,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,15,1,TOS a,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,15,1,TOSi15,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,15,2,"70 S400""",10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,15,2,Vosges,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,15,2,(O° :33:08,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,15,2,TUS2. 55,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,15,2,TO3154,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,15,2,TO S744,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,15,2,TOSi15,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,15,2,tO Sii4t,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,15,2,TOS a,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,15,2,TOSi15,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,15,3,"70 S400""",10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,15,3,Vosges,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,15,3,(O° :33:08,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,15,3,TUS2. 55,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,15,3,TO3154,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,15,3,TO S744,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,15,3,TOSi15,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,15,3,tO Sii4t,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,15,3,TOS a,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,15,3,TOSi15,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,15,4,"70 S400""",10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,15,4,Vosges,10:33:11,False
