Arquivo,Esperado,Lido,Sucesso
10-33-16_frame_005807.jpg,10:33:16,10:33:16,True
10-33-17_frame_005837.jpg,10:33:17,10:33:17,True
10-33-18_frame_005867.jpg,10:33:18,10:33:18,True
10-33-19_frame_005896.jpg,10:33:19,10:33:19,True
10-33-20_frame_005929.jpg,10:33:20,10:33:20,True
10-33-21_frame_005956.jpg,10:33:21,10:33:21,True
10-33-22_frame_005987.jpg,10:33:22,10:33:22,True
10-33-23_frame_006018.jpg,10:33:23,10:33:23,True
10-33-24_frame_006046.jpg,10:33:24,10:33:24,True
10-33-25_frame_006076.jpg,10:33:25,10:33:25,True
10-33-26_frame_006109.jpg,10:33:26,10:33:26,True
10-33-27_frame_006137.jpg,10:33:27,10:33:27,True
10-33-28_frame_006166.jpg,10:33:28,10:33:28,True
10-33-29_frame_006197.jpg,10:33:29,10:33:29,True
10-33-30_frame_006228.jpg,10:33:30,10:33:30,True
10-33-31_frame_006256.jpg,10:33:31,10:33:31,True
10-33-32_frame_006286.jpg,10:33:32,10:33:32,True
10-33-33_frame_006316.jpg,10:33:33,10:33:33,True
10-33-35_frame_006377.jpg,10:33:35,10:33:35,True
10-33-36_frame_006409.jpg,10:33:36,10:33:36,True
10-33-37_frame_006437.jpg,10:33:37,10:33:37,True
10-33-38_frame_006466.jpg,10:33:38,10:33:38,True
10-33-41_frame_006477.jpg,10:33:41,10:33:41,True
10-33-42_frame_006485.jpg,10:33:42,10:33:42,True
10-33-43_frame_006517.jpg,10:33:43,10:33:43,True
10-33-44_frame_006544.jpg,10:33:44,10:33:44,True
10-33-45_frame_006574.jpg,10:33:45,10:33:45,True
10-33-46_frame_006603.jpg,10:33:46,10:33:46,True
10-33-47_frame_006637.jpg,10:33:47,10:33:47,True
10-33-53_frame_006659.jpg,10:33:53,10:33:53,True
10-33-54_frame_006667.jpg,10:33:54,10:33:54,True
10-33-55_frame_006696.jpg,10:33:55,10:33:55,True
10-33-56_frame_006726.jpg,10:33:56,10:33:56,True
10-33-57_frame_006758.jpg,10:33:57,10:33:57,True
10-33-58_frame_006787.jpg,10:33:58,10:33:58,True
10-33-59_frame_006817.jpg,10:33:59,10:33:59,True
10-34-00_frame_006846.jpg,10:34:00,10:34:00,True
10-34-01_frame_006876.jpg,10:34:01,10:34:04,False
10-34-02_frame_006907.jpg,10:34:02,10:34:02,True
10-34-03_frame_006937.jpg,10:34:03,10:34:03,True
10-34-04_frame_006967.jpg,10:34:04,10:34:04,True
10-34-05_frame_006997.jpg,10:34:05,10:34:05,True
10-34-06_frame_007027.jpg,10:34:06,10:34:06,True
10-34-07_frame_007057.jpg,10:34:07,10:34:07,True
10-34-08_frame_007087.jpg,10:34:08,10:34:08,True
10-34-09_frame_007119.jpg,10:34:09,10:34:09,True
10-34-10_frame_007148.jpg,10:34:10,10:34:10,True
10-34-13_frame_007238.jpg,10:34:13,10:34:13,True
10-34-16_frame_007328.jpg,10:34:16,10:34:16,True
10-34-17_frame_007356.jpg,10:34:17,10:34:17,True
10-34-18_frame_007388.jpg,10:34:18,10:34:18,True
10-34-19_frame_007416.jpg,10:34:19,10:34:19,True
10-34-20_frame_007447.jpg,10:34:20,10:34:20,True
10-34-22_frame_007507.jpg,10:34:22,10:34:22,True
10-34-23_frame_007536.jpg,10:34:23,10:34:23,True
10-34-25_frame_007597.jpg,10:34:25,10:34:25,True
10-34-26_frame_007628.jpg,10:34:26,10:34:26,True
10-34-27_frame_007656.jpg,10:34:27,10:34:27,True
10-34-28_frame_007687.jpg,10:34:28,10:34:28,True
10-34-29_frame_007716.jpg,10:34:29,10:34:29,True
10-34-30_frame_007748.jpg,10:34:30,10:34:30,True
10-34-32_frame_007807.jpg,10:34:32,10:34:32,True
10-34-33_frame_007840.jpg,10:34:33,10:34:33,True
10-34-34_frame_007868.jpg,10:34:34,10:34:34,True
10-34-35_frame_007897.jpg,10:34:35,10:34:35,True
10-34-36_frame_007929.jpg,10:34:36,10:34:36,True
10-34-37_frame_007956.jpg,10:34:37,10:34:37,True
10-34-38_frame_007986.jpg,10:34:38,10:34:38,True
10-34-39_frame_008016.jpg,10:34:39,10:34:39,True
10-34-40_frame_008046.jpg,10:34:40,10:34:40,True
10-34-42_frame_008107.jpg,10:34:42,10:34:42,True
10-34-43_frame_008138.jpg,10:34:43,10:34:43,True
10-34-45_frame_008196.jpg,10:34:45,10:34:45,True
10-34-46_frame_008227.jpg,10:34:46,10:34:46,True
10-34-47_frame_008256.jpg,10:34:47,10:34:47,True
10-34-48_frame_008286.jpg,10:34:48,10:34:48,True
10-34-49_frame_008317.jpg,10:34:49,10:34:49,True
10-34-50_frame_008347.jpg,10:34:50,10:34:50,True
10-34-52_frame_008407.jpg,10:34:52,10:34:52,True
10-34-53_frame_008438.jpg,10:34:53,10:34:53,True
10-34-54_frame_008468.jpg,10:34:54,10:34:54,True
10-34-55_frame_008498.jpg,10:34:55,10:34:55,True
10-34-56_frame_008528.jpg,10:34:56,10:34:56,True
10-34-57_frame_008556.jpg,10:34:57,10:34:57,True
10-34-58_frame_008586.jpg,10:34:58,10:34:58,True
10-34-59_frame_008617.jpg,10:34:59,10:34:59,True
10-35-00_frame_008637.jpg,10:35:00,10:35:00,True
10-35-01_frame_008667.jpg,10:35:01,10:35:01,True
10-35-02_frame_008697.jpg,10:35:02,10:35:02,True
10-35-03_frame_008725.jpg,10:35:03,10:35:03,True
10-35-04_frame_008755.jpg,10:35:04,10:35:04,True
10-35-05_frame_008786.jpg,10:35:05,10:35:05,True
10-35-06_frame_008815.jpg,10:35:06,10:35:06,True
10-35-07_frame_008846.jpg,10:35:07,10:35:07,True
10-35-08_frame_008875.jpg,10:35:08,10:35:08,True
10-35-09_frame_008907.jpg,10:35:09,10:35:09,True
10-35-10_frame_008935.jpg,10:35:10,10:35:10,True
10-35-11_frame_008966.jpg,10:35:11,10:35:11,True
10-35-12_frame_008995.jpg,10:35:12,10:35:12,True
